time,PV Meter,Temperature,Cloud Cover Total,Wind Speed
2022-07-04 13:00:00,250734.24,31.61137,23.7,7.754637
2022-07-04 14:00:00,250765.8,32.24137,17.1,1.8
2022-07-04 15:00:00,250803.48,32.371372,100.0,12.849528
2022-07-04 16:00:00,250822.68,30.06137,30.000002,18.057508
2022-07-04 17:00:00,250824.0,30.67137,30.000002,15.158522
2022-07-04 18:00:00,250824.0,30.53137,100.0,11.609651
2022-07-04 19:00:00,250824.0,29.70137,100.0,8.905908
2022-07-04 20:00:00,250824.0,27.53137,100.0,9.83268
2022-07-04 21:00:00,250824.0,23.69137,100.0,24.162947
2022-07-04 22:00:00,250824.0,22.22137,100.0,11.901798
2022-07-04 23:00:00,250824.0,21.491371,100.0,11.4862
2022-07-05 00:00:00,250824.0,21.70137,100.0,15.484185
2022-07-05 01:00:00,250824.0,21.29137,52.0,12.661564
2022-07-05 02:00:00,250824.0,20.60137,10.0,10.239453
2022-07-05 03:00:00,250824.0,20.241371,100.0,10.365251
2022-07-05 04:00:00,250824.12,20.44137,100.0,13.1041975
2022-07-05 05:00:00,250825.68,20.491371,100.0,16.071491
2022-07-05 06:00:00,250834.12,20.79137,100.0,15.379206
2022-07-05 07:00:00,250846.2,20.53137,100.0,2.0991426
2022-07-05 08:00:00,250862.2,19.17137,100.0,8.473393
2022-07-05 09:00:00,250885.28,18.77137,100.0,6.618519
2022-07-05 10:00:00,250924.88,18.85137,100.0,3.319036
2022-07-05 11:00:00,250983.2,18.96137,100.0,8.913181
2022-07-05 12:00:00,251033.48,19.901371,100.0,10.948973
2022-07-05 13:00:00,251090.68,20.991371,100.0,8.913181
2022-07-05 14:00:00,251142.36,24.96137,100.0,15.94601
2022-07-05 15:00:00,251181.56,25.47137,100.0,18.59845
2022-07-05 16:00:00,251208.8,25.68137,100.0,22.065973
2022-07-05 17:00:00,251218.56,25.59137,60.0,21.413193
2022-07-05 18:00:00,251221.84,25.28137,0.6,21.096123
2022-07-05 19:00:00,251222.4,24.45137,0.0,19.008547
2022-07-05 20:00:00,251222.4,23.28137,0.0,14.168641
2022-07-05 21:00:00,251222.4,21.81137,0.0,9.511088
2022-07-05 22:00:00,251222.4,20.81137,0.0,7.491114
2022-07-05 23:00:00,251222.4,20.18137,0.0,6.792466
2022-07-06 00:00:00,251222.4,19.77137,0.0,5.815978
2022-07-06 01:00:00,251222.4,18.991371,0.0,5.1919937
2022-07-06 02:00:00,251222.4,18.17137,0.0,4.8433046
2022-07-06 03:00:00,251222.4,17.51137,0.0,5.315336
